rank_number,filename
1 ,design-documentation.md
2 ,00-directory-structure.md
3 ,architecture.md
4 ,02-backend-architecture.md
5 ,api-layer.md
6 ,broker-integerations.md
7 ,database-layer.md
8 ,authentication-platforms.md
9 ,configuration.md
10,utilities.md
11,broker-integration-checklist.md
12,10-flow-architecture.md
13,11-docker-configuration.md
14,12-ubuntu-server-installation.md
15,13-chartink-architecture.md
16,14-tradingview-and-gocharting.md
17,15-basic-ui-elements.md
18,16-centralized-logging.md
19,17-connection-pooling.md
20,18-database-structure.md
21,19-placeorder-call-flow.md
22,20-design-principles.md
23,21-admin-section.md
24,22-log-section.md
25,23-ip-security.md
26,24-browser-security.md
27,25-latency-monitor.md
28,26-traffic-logs.md
29,27-service-layer.md
30,28-environment-configuration.md
31,29-ngrok-configuration.md
32,30-upgrade-procedure.md
33,31-utils-functionalities.md
34,32-master-contract-download.md
35,33-broker-folder-explanations.md
36,34-app-startup.md
37,35-development-and-testing-guide.md
38,36-rate-limiting-guide.md
39,37-api-key-and-playground.md
40,38-python-strategies-hosting.md
41,39-strategy-module.md
42,40-logout-and-session-expiry.md
43,41-mcp-architecture.md
44,42-action-center.md
45,43-telegram-bot-configuration.md
46,44-toast-notifications-system.md
47,44-pnl-tracker.md
48,46-search.md
49,47-smtp-configuration.md
50,48-password-reset.md
51,49-themes.md
52,50-totp-configuration.md
53,51-broker-and-system-config.md
54,52-broker-factory-implementation.md
